timestamp,acc_bias_x,acc_bias_y,acc_bias_z,gyro_bias_x,gyro_bias_y,gyro_bias_z
1621218776.000000000,0.005499596,-0.085928047,0.011878671,-0.002379220,-0.000646181,-0.014093097
1621218777.000000000,0.007935535,-0.056633334,0.009924069,-0.002025945,-0.000671380,-0.007805590
1621218778.000000000,0.030645194,-0.057140938,0.009276208,-0.001892195,-0.000698708,-0.008539549
1621218779.000000000,0.012575116,-0.065514152,0.010314922,-0.001745592,-0.000169067,-0.005272493
1621218780.000000000,0.040760505,-0.042291468,0.007148879,-0.001632494,0.000038951,-0.001353749
1621218781.000000000,0.060257132,-0.058424816,0.008156305,-0.001696927,0.000075910,-0.002227082
1621218782.000000000,0.052502660,-0.054935605,0.007835130,-0.001734153,0.000075913,-0.002502977
1621218783.000000000,0.023523891,-0.009255595,0.004483153,-0.001464112,0.000879143,-0.001701192
1621218784.000000000,0.024289118,0.019866129,0.004173202,-0.001460490,0.001329545,-0.001582889
1621218785.000000000,0.020060117,0.047565812,0.003664768,-0.001889771,0.001914916,0.001832843
1621218786.000000000,0.023573021,0.003109248,0.005246975,-0.001797631,0.000379840,0.007003657
1621218787.000000000,0.011961386,-0.008050118,0.003442422,-0.002053251,-0.000722663,-0.000901508
1621218788.000000000,0.003620985,0.024601791,0.000744105,-0.001922169,-0.000577545,-0.005717448
1621218789.000000000,0.000544507,0.050750623,-0.000818413,-0.001825701,-0.000264156,-0.005247357
1621218790.000000000,-0.011291650,0.076592020,-0.002031085,-0.001852732,-0.000268496,-0.005602762
1621218791.000000000,-0.019313250,0.056756390,0.000207218,-0.001932305,-0.000235814,-0.005632484
1621218792.000000000,-0.032183406,0.052676689,0.001258449,-0.002869046,-0.001407352,-0.021362441
1621218793.000000000,-0.074431809,0.057851095,0.001884475,-0.002741445,-0.000619192,-0.009040171
1621218794.000000000,-0.054474067,0.039642843,0.003211483,-0.002300387,0.000016301,0.003947459
1621218795.000000000,0.001288974,0.029438719,0.004223454,-0.001952847,-0.000234042,0.005009709
1621218796.000000000,0.004138240,0.015557087,0.004976875,-0.001681132,-0.000706353,0.000543286
1621218797.000000000,0.007684087,0.008601893,0.005056977,-0.002029957,0.000343003,-0.005091609
1621218798.000000000,0.022701122,0.014550756,0.004767436,-0.002201646,0.000723410,-0.006655210
1621218799.000000000,0.032077821,0.036432062,0.004761533,-0.002495864,0.000026306,-0.006511843
